Product ID,Product Name,Category,Sub-Category,Total_Units_Sold,Total_Sales,Avg_Units_Per_Order,Avg_Monthly_Units,Profit_Margin_Pct,Volume_Quartile,Inventory_Alert,Recommended_Restock_Qty
OFF-ST-10001526,Iceberg Mobile Mega Data/Printer Cart ,Office Supplies,Storage,49.0,5751.77,6.13,4.08,24.14,1,URGENT - Restock Immediately,12.0
OFF-BI-10003982,Wilson Jones Century Plastic Molded Ring Binders,Office Supplies,Binders,48.0,583.64,4.8,4.0,9.47,1,MEDIUM - Monitor Stock,12.0
OFF-PA-10000357,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Office Supplies,Paper,48.0,2141.63,4.0,4.0,44.24,1,URGENT - Restock Immediately,12.0
OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,48.0,19024.5,5.33,4.0,4.0,1,MEDIUM - Monitor Stock,12.0
OFF-BI-10001757,Pressboard Hanging Data Binders for Unburst Sheets,Office Supplies,Binders,48.0,112.67,4.8,4.0,-9.0,1,MEDIUM - Monitor Stock,12.0
OFF-FA-10002280,Advantus Plastic Paper Clips,Office Supplies,Fasteners,47.0,225.0,4.7,3.92,45.69,1,URGENT - Restock Immediately,12.0
OFF-BI-10001597,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Office Supplies,Binders,47.0,1217.11,3.92,3.92,17.71,1,URGENT - Restock Immediately,12.0
OFF-ST-10003716,Tennsco Double-Tier Lockers,Office Supplies,Storage,47.0,9630.86,3.92,3.92,4.46,1,MEDIUM - Monitor Stock,12.0
FUR-TA-10001039,KI Adjustable-Height Table,Furniture,Tables,47.0,2764.26,4.27,3.92,-8.18,1,MEDIUM - Monitor Stock,12.0
OFF-BI-10000977,Ibico Plastic Spiral Binding Combs,Office Supplies,Binders,47.0,1100.48,3.62,3.92,29.89,1,URGENT - Restock Immediately,12.0
OFF-BI-10002082,GBC Twin Loop Wire Binding Elements,Office Supplies,Binders,47.0,1041.66,4.7,3.92,24.92,1,URGENT - Restock Immediately,12.0
OFF-BI-10000174,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",Office Supplies,Binders,47.0,191.98,5.22,3.92,26.16,1,URGENT - Restock Immediately,12.0
OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,46.0,238.33,3.83,3.83,10.7,1,URGENT - Restock Immediately,11.0
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables,46.0,12995.29,3.83,3.83,-2.52,1,MEDIUM - Monitor Stock,11.0
OFF-ST-10002743,SAFCO Boltless Steel Shelving,Office Supplies,Storage,46.0,4704.7,4.6,3.83,-10.0,1,MEDIUM - Monitor Stock,11.0
FUR-FU-10004864,Eldon 500 Class Desk Accessories,Furniture,Furnishings,46.0,1834.81,3.54,3.83,23.79,1,URGENT - Restock Immediately,11.0
OFF-BI-10002429,"Premier Elliptical Ring Binder, Black",Office Supplies,Binders,46.0,526.61,5.11,3.83,-38.27,1,MEDIUM - Monitor Stock,11.0
OFF-PA-10002986,Xerox 1898,Office Supplies,Paper,46.0,280.56,4.18,3.83,43.05,1,URGENT - Restock Immediately,11.0
TEC-PH-10003505,Geemarc AmpliPOWER60,Technology,Phones,46.0,3415.04,4.18,3.83,11.25,1,URGENT - Restock Immediately,11.0
OFF-BI-10001116,"Wilson Jones 1"" Hanging DublLock Ring Binders",Office Supplies,Binders,46.0,117.74,4.6,3.83,-7.26,1,MEDIUM - Monitor Stock,11.0
OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,45.0,7730.2,3.75,3.75,25.0,1,URGENT - Restock Immediately,11.0
FUR-FU-10000023,Eldon Wave Desk Accessories,Furniture,Furnishings,45.0,236.78,5.0,3.75,37.31,1,URGENT - Restock Immediately,11.0
TEC-AC-10001772,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,Technology,Accessories,45.0,718.65,7.5,3.75,39.0,1,URGENT - Restock Immediately,11.0
OFF-BI-10004632,GBC Binding covers,Office Supplies,Binders,45.0,5535.59,3.21,3.75,-4.45,1,MEDIUM - Monitor Stock,11.0
OFF-BI-10003712,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Office Supplies,Binders,45.0,131.1,4.09,3.75,14.04,1,URGENT - Restock Immediately,11.0
OFF-ST-10002486,Eldon Shelf Savers Cubes and Bins,Office Supplies,Storage,45.0,300.14,5.63,3.75,-2.56,1,MEDIUM - Monitor Stock,11.0
OFF-PA-10000100,Xerox 1945,Office Supplies,Paper,45.0,1696.99,5.63,3.75,44.57,1,URGENT - Restock Immediately,11.0
FUR-FU-10004848,DAX Solid Wood Frames,Furniture,Furnishings,44.0,1438.13,3.67,3.67,16.35,1,URGENT - Restock Immediately,11.0
FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,Furnishings,44.0,115.19,4.4,3.67,38.82,1,URGENT - Restock Immediately,11.0
OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,44.0,1617.95,4.4,3.67,27.7,1,URGENT - Restock Immediately,11.0
OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Fasteners,44.0,139.62,6.29,3.67,42.46,1,URGENT - Restock Immediately,11.0
TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,44.0,884.0,4.0,3.67,4.3,1,MEDIUM - Monitor Stock,11.0
OFF-AR-10003514,4009 Highlighters by Sanford,Office Supplies,Art,44.0,171.14,5.5,3.67,31.44,1,URGENT - Restock Immediately,11.0
OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,44.0,102.62,3.67,3.67,-11.58,1,MEDIUM - Monitor Stock,11.0
FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,44.0,2185.95,4.89,3.67,12.98,1,URGENT - Restock Immediately,11.0
FUR-TA-10002607,KI Conference Tables,Furniture,Tables,44.0,2140.88,5.5,3.67,-22.38,1,MEDIUM - Monitor Stock,11.0
OFF-BI-10003984,Lock-Up Easel 'Spel-Binder',Office Supplies,Binders,44.0,704.69,6.29,3.67,5.59,1,MEDIUM - Monitor Stock,11.0
OFF-BI-10003684,Wilson Jones Legal Size Ring Binders,Office Supplies,Binders,44.0,532.16,4.89,3.67,9.09,1,MEDIUM - Monitor Stock,11.0
OFF-BI-10000145,Zipper Ring Binder Pockets,Office Supplies,Binders,44.0,81.74,3.38,3.67,14.35,1,URGENT - Restock Immediately,11.0
OFF-LA-10001613,Avery File Folder Labels,Office Supplies,Labels,44.0,113.47,3.38,3.67,43.05,1,URGENT - Restock Immediately,11.0
FUR-CH-10002304,"Global Stack Chair without Arms, Black",Furniture,Chairs,44.0,901.51,6.29,3.67,4.9,1,MEDIUM - Monitor Stock,11.0
OFF-BI-10004970,"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,44.0,147.03,3.38,3.67,34.49,1,URGENT - Restock Immediately,11.0
FUR-CH-10000988,Hon Olson Stacker Stools,Furniture,Chairs,44.0,5294.46,4.4,3.67,15.74,1,URGENT - Restock Immediately,11.0
FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,Chairs,43.0,2204.86,4.3,3.58,11.16,1,URGENT - Restock Immediately,11.0
OFF-ST-10000060,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,Office Supplies,Storage,43.0,2612.2,5.38,3.58,5.87,1,MEDIUM - Monitor Stock,11.0
FUR-CH-10004997,Hon Every-Day Series Multi-Task Chairs,Furniture,Chairs,43.0,6748.48,4.3,3.58,4.18,1,MEDIUM - Monitor Stock,11.0
OFF-BI-10001989,Premium Transparent Presentation Covers by GBC,Office Supplies,Binders,43.0,753.18,4.3,3.58,37.72,1,URGENT - Restock Immediately,11.0
OFF-LA-10003510,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Office Supplies,Labels,43.0,1233.41,3.91,3.58,42.52,1,URGENT - Restock Immediately,11.0
TEC-PH-10001557,Pyle PMP37LED,Technology,Phones,43.0,3590.03,4.3,3.58,16.07,1,URGENT - Restock Immediately,11.0
OFF-ST-10004950,Acco Perma 3000 Stacking Storage Drawers,Office Supplies,Storage,43.0,652.62,3.91,3.58,6.1,1,MEDIUM - Monitor Stock,11.0
OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage,43.0,10925.0,3.91,3.58,14.42,1,URGENT - Restock Immediately,11.0
OFF-ST-10002615,"Dual Level, Single-Width Filing Carts",Office Supplies,Storage,43.0,6574.54,4.78,3.58,24.95,1,URGENT - Restock Immediately,11.0
OFF-BI-10004040,Wilson Jones Impact Binders,Office Supplies,Binders,42.0,134.68,4.67,3.5,17.62,1,URGENT - Restock Immediately,11.0
FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,42.0,4770.63,4.67,3.5,-4.14,1,MEDIUM - Monitor Stock,11.0
TEC-AC-10004469,Microsoft Sculpt Comfort Mouse,Technology,Accessories,42.0,1574.03,4.2,3.5,40.3,1,URGENT - Restock Immediately,11.0
OFF-PA-10004100,Xerox 216,Office Supplies,Paper,42.0,238.46,5.25,3.5,40.65,1,URGENT - Restock Immediately,11.0
OFF-BI-10000050,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Binders,42.0,197.83,4.2,3.5,17.86,1,URGENT - Restock Immediately,11.0
OFF-BI-10004001,GBC Recycled VeloBinder Covers,Office Supplies,Binders,42.0,487.34,5.25,3.5,20.7,1,URGENT - Restock Immediately,11.0
OFF-BI-10002353,GBC VeloBind Cover Sets,Office Supplies,Binders,42.0,342.77,3.82,3.5,5.41,1,MEDIUM - Monitor Stock,11.0
OFF-BI-10002133,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",Office Supplies,Binders,42.0,834.6,5.25,3.5,-9.85,1,MEDIUM - Monitor Stock,11.0
OFF-BI-10004209,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Office Supplies,Binders,42.0,182.51,4.2,3.5,-1.76,1,MEDIUM - Monitor Stock,11.0
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases,42.0,12921.64,4.2,3.5,0.15,1,MEDIUM - Monitor Stock,11.0
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,41.0,343.08,4.56,3.42,23.77,1,URGENT - Restock Immediately,10.0
OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,41.0,436.13,4.56,3.42,13.36,1,URGENT - Restock Immediately,10.0
TEC-PH-10003555,Motorola HK250 Universal Bluetooth Headset,Technology,Phones,41.0,832.24,4.56,3.42,-10.99,1,MEDIUM - Monitor Stock,10.0
OFF-BI-10001636,Ibico Plastic and Wire Spiral Binding Combs,Office Supplies,Binders,41.0,208.22,4.56,3.42,10.36,1,URGENT - Restock Immediately,10.0
OFF-BI-10003707,Aluminum Screw Posts,Office Supplies,Binders,41.0,354.03,3.73,3.42,11.64,1,URGENT - Restock Immediately,10.0
OFF-BI-10003429,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",Office Supplies,Binders,41.0,136.73,4.56,3.42,3.19,1,MEDIUM - Monitor Stock,10.0
OFF-BI-10002813,Avery Reinforcements for Hole-Punch Pages,Office Supplies,Binders,41.0,28.51,5.13,3.42,-56.6,1,MEDIUM - Monitor Stock,10.0
OFF-PA-10001125,Xerox 1988,Office Supplies,Paper,41.0,1102.89,4.56,3.42,36.66,1,URGENT - Restock Immediately,10.0
TEC-AC-10004568,MaxellÂ LTO Ultrium - 800 GB,Technology,Accessories,41.0,1086.01,5.13,3.42,14.41,1,URGENT - Restock Immediately,10.0
OFF-BI-10001249,Avery Heavy-Duty EZD View Binder with Locking Rings,Office Supplies,Binders,41.0,170.98,4.1,3.42,17.39,1,URGENT - Restock Immediately,10.0
OFF-BI-10002982,Avery Self-Adhesive Photo Pockets for Polaroid Photos,Office Supplies,Binders,41.0,143.01,3.73,3.42,-1.52,1,MEDIUM - Monitor Stock,10.0
OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Storage,40.0,517.63,4.0,3.33,22.92,1,URGENT - Restock Immediately,10.0
FUR-TA-10003748,Bevis 36 x 72 Conference Tables,Furniture,Tables,40.0,4332.25,5.0,3.33,10.34,1,URGENT - Restock Immediately,10.0
OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,40.0,11304.44,5.0,3.33,28.72,1,URGENT - Restock Immediately,10.0
OFF-AR-10004757,Crayola Colored Pencils,Office Supplies,Art,40.0,120.7,3.64,3.33,27.17,1,URGENT - Restock Immediately,10.0
OFF-BI-10001670,Vinyl Sectional Post Binders,Office Supplies,Binders,40.0,901.03,3.64,3.33,16.32,1,URGENT - Restock Immediately,10.0
OFF-BI-10001036,Cardinal EasyOpen D-Ring Binders,Office Supplies,Binders,40.0,209.31,5.0,3.33,12.66,1,URGENT - Restock Immediately,10.0
OFF-LA-10001569,Avery 499,Office Supplies,Labels,40.0,176.29,3.64,3.33,38.98,1,URGENT - Restock Immediately,10.0
OFF-ST-10001496,Standard Rollaway File with Lock,Office Supplies,Storage,40.0,6594.95,4.0,3.33,19.13,1,URGENT - Restock Immediately,10.0
OFF-ST-10004340,"Fellowes Mobile File Cart, Black",Office Supplies,Storage,40.0,2300.66,4.0,3.33,21.08,1,URGENT - Restock Immediately,10.0
OFF-PA-10003641,Xerox 1909,Office Supplies,Paper,40.0,970.78,4.44,3.33,41.3,1,URGENT - Restock Immediately,10.0
OFF-PA-10000675,Xerox 1919,Office Supplies,Paper,40.0,1565.82,4.44,3.33,46.6,1,URGENT - Restock Immediately,10.0
TEC-PH-10000895,Polycom VVX 310 VoIP phone,Technology,Phones,40.0,6227.65,5.0,3.33,14.45,1,URGENT - Restock Immediately,10.0
OFF-AP-10001205,Belkin 5 Outlet SurgeMaster Power Centers,Office Supplies,Appliances,40.0,1776.05,4.0,3.33,11.66,1,URGENT - Restock Immediately,10.0
OFF-BI-10002799,"SlimView Poly Binder, 3/8""",Office Supplies,Binders,40.0,117.59,5.71,3.33,4.85,1,MEDIUM - Monitor Stock,10.0
TEC-PH-10001459,Samsung Galaxy Mega 6.3,Technology,Phones,39.0,13943.67,6.5,3.25,13.07,1,URGENT - Restock Immediately,10.0
OFF-PA-10001033,Xerox 1893,Office Supplies,Paper,39.0,1434.65,3.55,3.25,43.17,1,URGENT - Restock Immediately,10.0
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,39.0,94.13,4.88,3.25,12.16,1,URGENT - Restock Immediately,10.0
OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders,39.0,1073.9,3.9,3.25,33.96,1,URGENT - Restock Immediately,10.0
OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6â€ x 11â€",Office Supplies,Paper,39.0,501.39,5.57,3.25,44.24,1,URGENT - Restock Immediately,10.0
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs,39.0,5989.2,3.55,3.25,4.46,1,MEDIUM - Monitor Stock,10.0
FUR-FU-10004091,"Eldon 200 Class Desk Accessories, Black",Furniture,Furnishings,39.0,1117.43,4.88,3.25,28.9,1,URGENT - Restock Immediately,10.0
OFF-LA-10001074,Round Specialty Laser Printer Labels,Office Supplies,Labels,39.0,421.01,6.5,3.25,38.48,1,URGENT - Restock Immediately,10.0
FUR-CH-10000785,Global Ergonomic Managers Chair,Furniture,Chairs,39.0,6008.54,3.55,3.25,13.07,1,URGENT - Restock Immediately,10.0
OFF-PA-10000157,Xerox 191,Office Supplies,Paper,39.0,767.23,3.9,3.25,46.17,1,URGENT - Restock Immediately,10.0
OFF-ST-10000736,Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,Storage,39.0,3028.65,3.25,3.25,-0.11,1,MEDIUM - Monitor Stock,10.0
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,39.0,21870.58,4.88,3.25,0.0,1,MEDIUM - Monitor Stock,10.0
FUR-TA-10001520,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Furniture,Tables,39.0,2298.11,4.33,3.25,-0.53,1,MEDIUM - Monitor Stock,10.0
OFF-BI-10004236,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",Office Supplies,Binders,39.0,386.08,3.9,3.25,19.92,1,URGENT - Restock Immediately,10.0
TEC-AC-10002006,Memorex Micro Travel Drive 16 GB,Technology,Accessories,39.0,556.45,5.57,3.25,22.67,1,URGENT - Restock Immediately,10.0
OFF-BI-10001628,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",Office Supplies,Binders,39.0,287.87,3.9,3.25,22.28,1,URGENT - Restock Immediately,10.0
FUR-CH-10003833,Novimex Fabric Task Chair,Furniture,Chairs,39.0,1890.38,4.33,3.25,-6.94,1,MEDIUM - Monitor Stock,10.0
FUR-FU-10002501,Nu-Dell Executive Frame,Furniture,Furnishings,39.0,409.54,6.5,3.25,24.17,1,URGENT - Restock Immediately,10.0
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,38.0,4181.75,4.22,3.17,16.59,1,URGENT - Restock Immediately,10.0
OFF-FA-10000624,OIC Binder Clips,Office Supplies,Fasteners,38.0,128.16,5.43,3.17,46.93,1,URGENT - Restock Immediately,10.0
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,38.0,18839.69,4.75,3.17,37.07,1,URGENT - Restock Immediately,10.0
OFF-BI-10000069,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Office Supplies,Binders,38.0,433.79,4.75,3.17,29.0,1,URGENT - Restock Immediately,10.0
FUR-FU-10000221,"Master Caster Door Stop, Brown",Furniture,Furnishings,38.0,176.78,4.22,3.17,27.93,1,URGENT - Restock Immediately,10.0
FUR-FU-10001940,Staple-based wall hangings,Furniture,Furnishings,38.0,219.7,3.8,3.17,22.9,1,URGENT - Restock Immediately,10.0
FUR-FU-10003724,Westinghouse Clip-On Gooseneck Lamps,Furniture,Furnishings,38.0,279.56,4.22,3.17,15.81,1,URGENT - Restock Immediately,10.0
OFF-PA-10003673,Strathmore Photo Mount Cards,Office Supplies,Paper,38.0,245.44,4.22,3.17,43.31,1,URGENT - Restock Immediately,10.0
OFF-BI-10004364,Storex Dura Pro Binders,Office Supplies,Binders,38.0,125.33,3.17,3.17,0.95,1,MEDIUM - Monitor Stock,10.0
OFF-ST-10001370,Sensible Storage WireTech Storage Systems,Office Supplies,Storage,38.0,2484.3,4.75,3.17,-3.14,1,MEDIUM - Monitor Stock,10.0
OFF-BI-10000632,Satellite Sectional Post Binders,Office Supplies,Binders,38.0,1219.82,3.45,3.17,26.98,1,URGENT - Restock Immediately,10.0
OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,37.0,63.63,4.63,3.08,-21.86,1,MEDIUM - Monitor Stock,9.0
OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders,37.0,175.39,5.29,3.08,42.12,1,URGENT - Restock Immediately,9.0
OFF-FA-10002780,Staples,Office Supplies,Fasteners,37.0,92.98,7.4,3.08,35.96,1,URGENT - Restock Immediately,9.0
OFF-PA-10002254,Xerox 1883,Office Supplies,Paper,37.0,881.09,5.29,3.08,40.18,1,URGENT - Restock Immediately,9.0
FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,37.0,4619.99,3.36,3.08,10.52,1,URGENT - Restock Immediately,9.0
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,37.0,2740.2,5.29,3.08,-35.58,1,MEDIUM - Monitor Stock,9.0
OFF-LA-10003923,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,37.0,518.0,4.11,3.08,47.14,1,URGENT - Restock Immediately,9.0
OFF-BI-10002103,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",Office Supplies,Binders,37.0,179.01,3.7,3.08,3.01,1,MEDIUM - Monitor Stock,9.0
TEC-PH-10002103,Jabra SPEAK 410,Technology,Phones,37.0,3158.06,4.11,3.08,20.71,1,URGENT - Restock Immediately,9.0
OFF-LA-10004484,Avery 476,Office Supplies,Labels,37.0,137.12,3.7,3.08,39.82,1,URGENT - Restock Immediately,9.0
OFF-ST-10000025,Fellowes Stor/Drawer Steel Plus Storage Drawers,Office Supplies,Storage,37.0,3397.31,4.63,3.08,2.3,1,MEDIUM - Monitor Stock,9.0
OFF-PA-10001289,White Computer Printout Paper by Universal,Office Supplies,Paper,37.0,1279.08,4.63,3.08,42.82,1,URGENT - Restock Immediately,9.0
OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,37.0,19823.48,3.36,3.08,11.27,1,URGENT - Restock Immediately,9.0
OFF-PA-10001972,Xerox 214,Office Supplies,Paper,37.0,215.14,4.11,3.08,42.05,1,URGENT - Restock Immediately,9.0
OFF-PA-10000380,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Office Supplies,Paper,37.0,281.89,4.63,3.08,45.27,1,URGENT - Restock Immediately,9.0
FUR-FU-10001731,Acrylic Self-Standing Desk Frames,Furniture,Furnishings,37.0,93.98,4.63,3.08,34.83,1,URGENT - Restock Immediately,9.0
OFF-BI-10000962,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",Office Supplies,Binders,36.0,410.0,3.6,3.0,27.14,1,URGENT - Restock Immediately,9.0
