Product ID,Product Name,Category,Sub-Category,Sales_Frequency,Total_Sales,Total_Profit,Avg_Discount_Pct,Profit_Margin_Pct,Frequency_Quartile,Alert_Status
OFF-ST-10001809,Fellowes Officeware Wire Shelving,Office Supplies,Storage,11,4509.47,-332.37,7.27,-7.37,1,High Sales Low Margin
OFF-ST-10001558,Acco Perma 4000 Stacking Storage Drawers,Office Supplies,Storage,11,457.97,30.04,9.09,6.56,1,High Sales Low Margin
FUR-TA-10001039,KI Adjustable-Height Table,Furniture,Tables,11,2764.26,-226.13,22.27,-8.18,1,High Sales Low Margin
OFF-ST-10004950,Acco Perma 3000 Stacking Storage Drawers,Office Supplies,Storage,11,652.62,39.84,12.73,6.1,1,High Sales Low Margin
OFF-BI-10002353,GBC VeloBind Cover Sets,Office Supplies,Binders,11,342.77,18.53,46.36,5.41,1,High Sales Low Margin
OFF-BI-10002982,Avery Self-Adhesive Photo Pockets for Polaroid Photos,Office Supplies,Binders,11,143.01,-2.18,53.64,-1.52,1,High Sales Low Margin
OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,Storage,10,2299.75,-172.94,12.0,-7.52,1,High Sales Low Margin
OFF-ST-10004804,"Belkin 19"" Vented Equipment Shelf, Black",Office Supplies,Storage,10,1400.26,-179.67,12.0,-12.83,1,High Sales Low Margin
OFF-BI-10003982,Wilson Jones Century Plastic Molded Ring Binders,Office Supplies,Binders,10,583.64,55.25,37.0,9.47,1,High Sales Low Margin
FUR-CH-10003396,Global Deluxe Steno Chair,Furniture,Chairs,10,1770.54,-216.31,21.0,-12.22,1,High Sales Low Margin
OFF-ST-10002743,SAFCO Boltless Steel Shelving,Office Supplies,Storage,10,4704.7,-470.47,10.0,-10.0,1,High Sales Low Margin
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,10,2970.06,-78.64,11.0,-2.65,1,High Sales Low Margin
FUR-CH-10004997,Hon Every-Day Series Multi-Task Chairs,Furniture,Chairs,10,6748.48,281.97,16.0,4.18,1,High Sales Low Margin
OFF-BI-10002103,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",Office Supplies,Binders,10,179.01,5.39,41.0,3.01,1,High Sales Low Margin
TEC-PH-10002923,"Logitech B530 USBÂ HeadsetÂ -Â headsetÂ - Full size, Binaural",Technology,Phones,10,739.8,64.73,16.0,8.75,1,High Sales Low Margin
OFF-ST-10002574,"SAFCO Commercial Wire Shelving, Black",Office Supplies,Storage,10,4199.46,-635.44,14.0,-15.13,1,High Sales Low Margin
OFF-BI-10001116,"Wilson Jones 1"" Hanging DublLock Ring Binders",Office Supplies,Binders,10,117.74,-8.55,50.0,-7.26,1,High Sales Low Margin
TEC-PH-10001817,Wilson Electronics DB Pro Signal Booster,Technology,Phones,10,8878.4,515.52,22.0,5.81,1,High Sales Low Margin
OFF-BI-10001757,Pressboard Hanging Data Binders for Unburst Sheets,Office Supplies,Binders,10,112.67,-10.14,44.0,-9.0,1,High Sales Low Margin
OFF-BI-10004209,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Office Supplies,Binders,10,182.51,-3.22,43.0,-1.76,1,High Sales Low Margin
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases,10,12921.64,19.69,16.0,0.15,1,High Sales Low Margin
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,9,4952.67,-450.24,32.22,-9.09,1,High Sales Low Margin
FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,9,4770.63,-197.58,16.67,-4.14,1,High Sales Low Margin
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases,9,1426.89,-20.29,23.0,-1.42,1,High Sales Low Margin
OFF-BI-10000309,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,Binders,9,269.39,-2.28,38.89,-0.85,1,High Sales Low Margin
OFF-BI-10001098,Acco D-Ring Binder w/DublLock,Office Supplies,Binders,9,235.18,-102.84,62.22,-43.73,1,High Sales Low Margin
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,9,12975.38,951.86,20.0,7.34,1,High Sales Low Margin
TEC-PH-10003555,Motorola HK250 Universal Bluetooth Headset,Technology,Phones,9,832.24,-91.5,13.33,-10.99,1,High Sales Low Margin
OFF-BI-10002429,"Premier Elliptical Ring Binder, Black",Office Supplies,Binders,9,526.61,-201.51,64.44,-38.27,1,High Sales Low Margin
FUR-FU-10000723,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Furniture,Furnishings,9,1115.64,-125.2,17.78,-11.22,1,High Sales Low Margin
OFF-AP-10004708,Fellowes Superior 10 Outlet Split Surge Protector,Office Supplies,Appliances,9,867.77,57.09,26.67,6.58,1,High Sales Low Margin
OFF-BI-10002824,Recycled Easel Ring Binders,Office Supplies,Binders,9,308.84,21.63,38.89,7.0,1,High Sales Low Margin
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,Bookcases,9,3317.72,135.59,16.67,4.09,1,High Sales Low Margin
TEC-PH-10001530,Cisco Unified IP Phone 7945G VoIP phone,Technology,Phones,9,8111.14,275.33,22.22,3.39,1,High Sales Low Margin
OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,9,19024.5,760.98,52.22,4.0,1,High Sales Low Margin
OFF-BI-10002071,Fellowes Black Plastic Comb Bindings,Office Supplies,Binders,9,102.26,-4.42,41.11,-4.32,1,High Sales Low Margin
OFF-BI-10003684,Wilson Jones Legal Size Ring Binders,Office Supplies,Binders,9,532.16,48.38,42.22,9.09,1,High Sales Low Margin
FUR-TA-10001520,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Furniture,Tables,9,2298.11,-12.13,17.78,-0.53,1,High Sales Low Margin
OFF-BI-10003429,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",Office Supplies,Binders,9,136.73,4.37,45.56,3.19,1,High Sales Low Margin
FUR-TA-10001676,Hon 61000 Series Interactive Training Tables,Furniture,Tables,9,653.12,-148.4,31.11,-22.72,1,High Sales Low Margin
OFF-ST-10002554,Tennsco Industrial Shelving,Office Supplies,Storage,9,1281.44,-108.58,11.11,-8.47,1,High Sales Low Margin
FUR-CH-10003833,Novimex Fabric Task Chair,Furniture,Chairs,9,1890.38,-131.11,18.89,-6.94,1,High Sales Low Margin
FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,Furniture,Chairs,9,2647.81,49.13,14.44,1.86,1,High Sales Low Margin
OFF-ST-10002301,Tennsco Commercial Shelving,Office Supplies,Storage,9,374.26,-48.61,11.11,-12.99,1,High Sales Low Margin
FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Furniture,Chairs,9,3680.54,-491.18,18.89,-13.35,1,High Sales Low Margin
FUR-CH-10003535,"Global Armless Task Chair, Royal Blue",Furniture,Chairs,8,1396.44,-20.73,17.5,-1.48,1,High Sales Low Margin
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,Bookcases,8,3626.01,-208.65,23.38,-5.75,1,High Sales Low Margin
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,8,7242.77,-532.76,26.25,-7.36,1,High Sales Low Margin
OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,8,63.63,-13.91,56.25,-21.86,1,High Sales Low Margin
TEC-AC-10002167,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,Technology,Accessories,8,357.0,23.25,7.5,6.51,1,High Sales Low Margin
FUR-CH-10003061,"Global Leather Task Chair, Black",Furniture,Chairs,8,1448.84,63.89,13.75,4.41,1,High Sales Low Margin
OFF-ST-10004123,Safco Industrial Wire Shelving System,Office Supplies,Storage,8,2511.05,-218.35,10.0,-8.7,1,High Sales Low Margin
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,8,2913.91,-445.39,20.0,-15.28,1,High Sales Low Margin
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,8,6785.14,494.42,41.25,7.29,1,High Sales Low Margin
OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage,8,3035.21,24.14,2.5,0.8,1,High Sales Low Margin
FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs,8,1830.15,80.98,22.5,4.42,1,High Sales Low Margin
OFF-ST-10002485,Rogers Deluxe File Chest,Office Supplies,Storage,8,444.0,-34.73,10.0,-7.82,1,High Sales Low Margin
FUR-CH-10004860,Global Low Back Tilter Chair,Furniture,Chairs,8,1746.95,-246.39,18.75,-14.1,1,High Sales Low Margin
FUR-TA-10002607,KI Conference Tables,Furniture,Tables,8,2140.88,-479.22,32.5,-22.38,1,High Sales Low Margin
OFF-SU-10001225,Staple remover,Office Supplies,Supplies,8,80.22,-6.33,10.0,-7.89,1,High Sales Low Margin
OFF-BI-10000773,Insertable Tab Post Binder Dividers,Office Supplies,Binders,8,66.57,-39.7,57.5,-59.64,1,High Sales Low Margin
OFF-ST-10000060,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,Office Supplies,Storage,8,2612.2,153.35,7.5,5.87,1,High Sales Low Margin
OFF-SU-10003505,Premier Electric Letter Opener,Office Supplies,Supplies,8,2641.61,0.0,7.5,0.0,1,High Sales Low Margin
OFF-ST-10004459,Tennsco Single-Tier Lockers,Office Supplies,Storage,8,9158.3,-825.75,7.5,-9.02,1,High Sales Low Margin
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,8,21870.58,0.0,20.0,0.0,1,High Sales Low Margin
OFF-BI-10003638,GBC Durable Plastic Covers,Office Supplies,Binders,8,369.59,14.32,35.0,3.87,1,High Sales Low Margin
OFF-ST-10000025,Fellowes Stor/Drawer Steel Plus Storage Drawers,Office Supplies,Storage,8,3397.31,78.25,5.0,2.3,1,High Sales Low Margin
OFF-BI-10000014,Heavy-Duty E-Z-D Binders,Office Supplies,Binders,8,176.74,9.06,50.0,5.12,1,High Sales Low Margin
OFF-ST-10002486,Eldon Shelf Savers Cubes and Bins,Office Supplies,Storage,8,300.14,-7.68,5.0,-2.56,1,High Sales Low Margin
OFF-BI-10004022,Acco Suede Grain Vinyl Round Ring Binder,Office Supplies,Binders,8,38.64,-4.89,53.75,-12.66,1,High Sales Low Margin
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,8,5492.89,15.05,31.63,0.27,1,High Sales Low Margin
OFF-ST-10002344,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage,8,1635.8,-110.13,10.0,-6.73,1,High Sales Low Margin
FUR-CH-10003973,GuestStacker Chair with Chrome Finish Legs,Furniture,Chairs,8,9070.94,773.26,22.5,8.52,1,High Sales Low Margin
TEC-PH-10002200,Aastra 6757i CT Wireless VoIP phone,Technology,Phones,8,7437.89,353.79,20.0,4.76,1,High Sales Low Margin
FUR-BO-10004467,Bestar Classic Bookcase,Furniture,Bookcases,8,1897.81,-612.94,31.5,-32.3,1,High Sales Low Margin
OFF-BI-10002813,Avery Reinforcements for Hole-Punch Pages,Office Supplies,Binders,8,28.51,-16.14,57.5,-56.6,1,High Sales Low Margin
TEC-AC-10001314,Case Logic 2.4GHz Wireless Keyboard,Technology,Accessories,8,1229.75,-12.0,7.5,-0.98,1,High Sales Low Margin
FUR-TA-10003008,"Lesro Round Back Collection Coffee Table, End Table",Furniture,Tables,8,2847.78,-328.59,28.75,-11.54,1,High Sales Low Margin
FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",Furniture,Tables,8,6942.07,-856.01,27.5,-12.33,1,High Sales Low Margin
OFF-ST-10001370,Sensible Storage WireTech Storage Systems,Office Supplies,Storage,8,2484.3,-78.08,7.5,-3.14,1,High Sales Low Margin
OFF-BI-10004224,Catalog Binders with Expanding Posts,Office Supplies,Binders,8,1089.94,-242.21,51.25,-22.22,1,High Sales Low Margin
OFF-BI-10002133,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",Office Supplies,Binders,8,834.6,-82.18,51.25,-9.85,1,High Sales Low Margin
OFF-ST-10001505,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Office Supplies,Storage,8,180.6,16.8,5.0,9.3,1,High Sales Low Margin
OFF-BI-10001553,SpineVue Locking Slant-D Ring Binders by Cardinal,Office Supplies,Binders,8,110.59,6.03,38.75,5.45,1,High Sales Low Margin
TEC-AC-10002550,Maxell 4.7GB DVD-RW 3/Pack,Technology,Accessories,8,619.42,9.15,10.0,1.48,1,High Sales Low Margin
OFF-BI-10001308,GBC Standard Plastic Binding Systems' Combs,Office Supplies,Binders,8,108.64,5.02,42.5,4.62,1,High Sales Low Margin
OFF-BI-10003196,Accohide Poly Flexible Ring Binders,Office Supplies,Binders,8,43.76,-19.82,53.75,-45.3,1,High Sales Low Margin
OFF-SU-10000157,Compact Automatic Electric Letter Opener,Office Supplies,Supplies,8,2982.75,-57.27,5.0,-1.92,1,High Sales Low Margin
OFF-AP-10001242,APC 7 Outlet Network SurgeArrest Surge Protector,Office Supplies,Appliances,8,1207.2,80.48,22.5,6.67,1,High Sales Low Margin
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,7,197.17,-69.57,52.86,-35.28,1,High Sales Low Margin
OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,7,872.26,-52.57,8.57,-6.03,1,High Sales Low Margin
OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders,7,31.59,-7.03,61.43,-22.26,1,High Sales Low Margin
OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders,7,174.73,12.8,37.14,7.33,1,High Sales Low Margin
TEC-PH-10001700,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,Phones,7,1135.03,75.23,20.0,6.63,1,High Sales Low Margin
OFF-ST-10002756,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Office Supplies,Storage,7,4384.04,-36.53,2.86,-0.83,1,High Sales Low Margin
OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,Office Supplies,Binders,7,41.34,-19.69,62.86,-47.63,1,High Sales Low Margin
FUR-TA-10004575,Hon 5100 Series Wood Tables,Furniture,Tables,7,5965.09,-238.6,21.43,-4.0,1,High Sales Low Margin
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,7,2740.2,-975.1,42.14,-35.58,1,High Sales Low Margin
FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,Furniture,Chairs,7,1311.88,-42.11,17.14,-3.21,1,High Sales Low Margin
OFF-ST-10001469,Fellowes Bankers Box Recycled Super Stor/Drawer,Office Supplies,Storage,7,1187.56,-30.23,8.57,-2.55,1,High Sales Low Margin
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Furniture,Chairs,7,1757.27,-166.01,17.14,-9.45,1,High Sales Low Margin
FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,Furniture,Tables,7,9544.73,-1934.4,35.0,-20.27,1,High Sales Low Margin
OFF-ST-10000689,"Fellowes Strictly Business Drawer File, Letter/Legal Size",Office Supplies,Storage,7,4479.03,388.75,5.71,8.68,1,High Sales Low Margin
TEC-PH-10000376,Square Credit Card Reader,Technology,Phones,7,173.83,11.19,17.14,6.44,1,High Sales Low Margin
OFF-SU-10004498,Martin-Yale Premier Letter Opener,Office Supplies,Supplies,7,236.99,-12.88,8.57,-5.43,1,High Sales Low Margin
OFF-AP-10001563,Belkin Premiere Surge Master II 8-outlet surge protector,Office Supplies,Appliances,7,952.17,55.38,27.14,5.82,1,High Sales Low Margin
FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,Furniture,Chairs,7,2200.46,-130.98,14.29,-5.95,1,High Sales Low Margin
OFF-ST-10001511,Space Solutions Commercial Steel Shelving,Office Supplies,Storage,7,1952.43,-74.35,2.86,-3.81,1,High Sales Low Margin
OFF-ST-10002583,Fellowes Neat Ideas Storage Cubes,Office Supplies,Storage,7,480.7,-18.19,8.57,-3.78,1,High Sales Low Margin
FUR-FU-10003394,"Tenex ""The Solids"" Textured Chair Mats",Furniture,Furnishings,7,1469.16,-40.58,20.0,-2.76,1,High Sales Low Margin
TEC-AC-10003441,Kingston Digital DataTraveler 32GB USB 2.0,Technology,Accessories,7,355.95,5.42,5.71,1.52,1,High Sales Low Margin
